Country,Source,Target
United States of America,Harlem Renaissance,Aaron Douglas
United States of America,Social Realism,Aaron Douglas
United States of America,Street Art,ABOVE
United States of America,Street Art,Abraham Lishinsky
Poland,Italian Renaissance,Adam Kossowski
Poland,Sacred Art,Adam Kossowski
United Kingdom,Dada,Adam Neate
Pakistan,Indian Art,Afsar Madad Naqvi
Sweden,Street Art,Akay
United States of America,Impressionism,Albert Henry Krehbiel
United States of America,Neoclassicism,Albert Henry Krehbiel
United States of America,Abstract Art,Albert Henry Krehbiel
United States of America,Impressionism,Alec Monopoly
United States of America,Neoclassicism,Alec Monopoly
United States of America,Abstract Art,Alec Monopoly
Brazil,Surrealism,Alexandre Orion
Mexico,Social Realism,Alfredo de Batuc
Mexico,Surrealism,Alfredo de Batuc
Mexico,Impressionism,Alfredo Ramos Martinez
Mexico,Modernism,Alfredo Ramos Martinez
United States of America,American Indian Art,Allan Houser
United States of America,Abstract Art,Alton Tobey
United States of America,Realism,Alton Tobey
France,Comic Art,Andre
United States of America,Neo-expressionism,Andre Pierre Charles
Russia,Neo-byzantine,Andrej Bicenko
Russia,Russian Realism,Andrej Bicenko
United Kingdom,Underground Art,Andy Council
United States of America,Abstract Art,Antonia Gerstacker
United States of America,Impressionism,Antonia Gerstacker
United States of America,Conceptual Art,Archie Rand
United States of America,Color Field,Archie Rand
France,Street Art,Ash
Armenia,Neo-Realism,Ashot Melkonian
United States of America,Social Realism,August Henkel
United States of America,Guerrilla Art,AVANT
United States of America,Street Art,Avoid pi
United States of America,Street Art,B.N.E.
United Kingdom,Street Art,Banksy
United States of America,Neo-expressionism,Jean-Michel Basquiat
United States of America,Primitivism,Jean-Michel Basquiat
United States of America,Abstract Art,Jean-Michel Basquiat
United States of America,Guerrilla Art,Beautiful Angle
United States of America,Realism,Bertram Goodman
United States of America,Federal Art Project,Bertram Goodman
Greece,Street Art,Bleeps
Greece,Artivism,Bleeps
France,Poster Art,Blek le Rat
Italy,Comic Art,Blu
Italy,Video Art,Blu
United States of America,Stencil Art,Borf
France,Street Art,C215
United Kingdom,Stencil Art,Cartrain
United Kingdom,Cubism,Cartrain
United States of America,Sculpture,Cesare Stea
United States of America,Federal Art Project,Cesare Stea
Spain,Comic Art,Chanoir
United States of America,Harlem Renaissance,Charles Alston
United States of America,Abstract Expressionism,Charles Alston
United States of America,Federal Art Project,Charles Ragland Bunnell
United States of America,Cubism,Charles Ragland Bunnell
United States of America,Abstract Expressionism,Charles Ragland Bunnell
Egypt,Stencil Art,Chico
Japan,Superflat,Chiho Aoshima
United States of America,Spray Paint Art,Chor Boogie
United States of America,Color Therapy,Chor Boogie
United States of America,Mission School,Chris Johanson
Australia,Stencil Art,Civilian
United States of America,Street Art,"Cool ""Disco"" Dan"
United States of America,Street Art,Cope2
United Kingdom,Billboard Art,Cutup
United States of America,Impressionism,D. Putnam Brinley
United States of America,Modern Art,D. Putnam Brinley
United States of America,Street Art,Dan Witz
Germany,Color Theory,Darco
Mexico,Social Realism,David Alfaro Siqueiros
United States of America,Federal Art Project,David Karfunkle
United States of America,WPA,David Margolis
Mexico,Social Realism,Diego Rivera
United States of America,illustration,Dillon Boy
Australia,Stencil Art,Dlux
Norway,Stencil Art,Dolk
Germany,Poster Art,El Bocho
United States of America,Conceptual Art,El Celso
Egypt,Street Art,El Teneen
Spain,Tag Art,El Xupet Negre
United States of America,Subway Art,Ellis Gallagher
Canada,Printmaking,Esm-Articficial
Canada,Satirist,Esm-Articficial
Argentina,Street Art,Ever
United States of America,Stencil Art,Faile
United States of America,Wheatpasting,Faile
Mexico,Realism,Fernando Castro Pacheco
Australia,Printmaking,Fred Fowler
Mexico,Social Realism,Gabriel Flores
Mexico,Surrealism,Gabriel Flores
Egypt,Stencil Art,Ganzeer
Georgia,Social Realism,Gia Bugadze
United States of America,New Media,Graffiti Research Lab
United States of America,Realism,Gustaf Dalstrom
Australia,Stencil Art,Ha-Ha
Switzerland,Mural Art,Hans Bock
United States of America,Baroque,Herb Roe
Italy,Environmental Art,I08
United States of America,De Stijl,Ilya Bolotowsky
United States of America,Abstract Art,Ilya Bolotowsky
United States of America,Cubism,Ilya Bolotowsky
United States of America,Geometric Abstract Art,Ilya Bolotowsky
United Kingdom,New Media,Inkie
France,Mosaic Art,Invader
Romania,Fauvism,Ion Theodorescu-Sion
Romania,Impressionism,Ion Theodorescu-Sion
Romania,Realism,Ion Theodorescu-Sion
Romania,Divisionism,Ion Theodorescu-Sion
Romania,Academic Art,Ion Theodorescu-Sion
Romania,Art Nouveau,Ion Theodorescu-Sion
Romania,Cubism,Ion Theodorescu-Sion
Romania,Synthetism,Ion Theodorescu-Sion
Romania,Post-Impressionism,Ion Theodorescu-Sion
Romania,Symbolism,Ion Theodorescu-Sion
United States of America,Lyrical Abstraction,James Brooks
United States of America,Abstract Expressionism,James Brooks
United States of America,WPA,James Michael Newell
France,Stencil Art,Jef Aerosol
Spain,Surrealism,Joan Miro
Spain,Dada,Joan Miro
United States of America,Guerrilla Art,John Fekner
United States of America,Harlem Renaissance,John T. Biggers
United States of America,Impressionism,John White Alexander
Canada,Surrealism,Jordi Bonet
Mexico,Neo-figurative,Jorge Figueroa Acosta
Mexico,Social Realism,Jose Clemente Orozco
Uruguay,Scenography,Jose Liard
United Kingdom,Arts and Crafts,Joseph Southall
United States of America,Printmaking,Josh MacPhee
France,Poster Art,JR
France,Photorealism,JR
United States of America,Modern Art,Juan Mirabal
United States of America,Cubism,Juan Mirabal
United States of America,Chicano,Judy Baca
United States of America,Mural Art,Judy Taylor
United States of America,Comic Artist,KAWS
Egypt,Poster Art,Keizer
Egypt,Political Art,Keizer
United States of America,Art Nouveau,Kenyon Cox
United Kingdom,Subway Art,King Robbo
United States of America,Arts and Crafts,Knitta
United States of America,Abstract Expressionism,Knox Martin
Ecuador,Mural Art,Lady Pink
United States of America,Comic Artist,Louis Ferstadt
United States of America,Federal Art Project,Louise Brann
United States of America,Chicano,Malaquias Montoya
United States of America,Installations,Mark Jenkins
United States of America,Trompe l'oeil,Mark Jenkins
United States of America,Street Art,Mark Miremont
Australia,Stencil Art,Meek
United States of America,Street Art,Melanie Stimmell
United States of America,Renaissance,Melanie Stimmell
Mexico,Social Realism,Melchor Peredo
Australia,Abstract Art,Mini Graff
France,Comic Art,Miss Van
United States of America,Wheatpasting,Morley
United States of America,Street Art,Neckface
United Kingdom,Stencil Art,Nick Walker
United States of America,Guerrilla Art,Nsumi
United States of America,Installations,Nsumi
United States of America,Installations,Olek
Brazil,Subway Art,Os Gemeos
South Africa,Cubism,Paul du toit
South Africa,Abstract Art,Paul du toit
Spain,Street Art,Pez
Australia,Stencil Art,Phibs
Brussels,Neo-expressionism,Pierre Schwarz
Norway,Stencil Art,Pobel
United States of America,Subway Art,Poster Boy
Canada,Stencil Art,Posterchild
Australia,Stencil Art,Prism
United States of America,Tag Art,Priz-one
Germany,Italian Renaissance,Rainer Maria Latzke
Germany,Renaissance,Rainer Maria Latzke
Germany,Surrealism,Rainer Maria Latzke
Germany,Trompe l'oeil,Rainer Maria Latzke
United States of America,WPA,Ralph (Ralf) Henricksen
United States of America,Mission School,Reminisce
England,Baroque,Rex Whistler
United States of America,Trompe l'oeil,Richard Haas
United States of America,Impressionism,Rinaldo Cuneo
United States of America,Modernism,Rinaldo Cuneo
Belgium,Audubon,ROA
United States of America,Mural Art,Robert Dafford
United Kingdom,Street Art,Robert Del Naja
Mexico,Surrealism,Roberto Cueva del Rio
Mexico,Impressionism,Roberto Cueva del Rio
United States of America,Billboard Art,Ron English
United States of America,WPA,Ruth Egri
Pakistan,Calligraphy,Sadequain
United States of America,Chicano,Salvador Torres
United States of America,Neo-expressionism,SAMO
United States of America,New Media,Sane Smith
India,Indian Art,Satish Gujral
United States of America,Tattoo Art,Seen
United States of America,Abstract Art,Seymour Fogel
United States of America,Stencil Art,Shephard Fairey
United Kingdom,Street Art,Sickboy
United Kingdom,Underground Art,
Australia,Poster Art,Sixten
Australia,Stencil Art,Sixten
United States of America,Collage Art,Smear
United States of America,Neo-expressionism,
United States of America,Contemporary Art,Stash Maleski
United Kingdom,Street Art,Stik
Australia,Subway Art,Stormie Mills
Australia,Tag Art,Stormie Mills
United States of America,Wheatpasting,Swoon
United States of America,Cut-out,Swoon
Australia,Poster Art,Sync
United States of America,Tag Art,TAKI 183
Denmark,Conceptual Art,Tejn
Denmark,Installations,Tejn
Denmark,Stencil Art,Tejn
United States of America,Installations,Tim Conlon
Romania,Mural Art,Traian Trestioreanu
Hong Kong,Chinese Art,Tsang Tsou Choi
United States of America,Chinese Art,Tyrus Wong
Germany,Underground Art,Undenk
Australia,Stencil,Vexta
United States of America,Pre-Raphaelite Brotherhood,William Laurel Harris
Canada,Color Field,William Perehudoff
Spain,Mural Art,Xavier Gonzalez
